id,name,address,city,county,latitude,longitude,fuel_types,services,program,phone
1,ZMK,2 Beri Gabriel Salosi Ave,Tbilisi,Tbilisi,41.672493,44.876102,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
2,Samgori 1,Metro Samgori,Tbilisi,Tbilisi,41.68668,44.855507,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
95,Kutaisi 4,"Chavchavadze Ave. # 2b, Kutaisi",Kutaisi,Kutaisi,42.248436,42.69902,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
102,Gori 4,"11, 73rd Street,Village Karaleti, Gori",Gori,GE,41.999382,44.111973,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
7,Sanzona,3/8 Guramishvili Street,Tbilisi,Tbilisi,41.779236,44.795818,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
8,Gori 1,Gori Village Sveneti,Shida Kartli,Gori,42.018845,44.147747,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
9,Senaki,Senaki Mshvidobis Street 172,Senaki,Senaki,42.266529,42.068546,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
10,Marneuli 1," Marneuli, 26 May str.",Kvemo Kartli,Kvemo Kartli,41.483402,44.793999,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
11,Sheshelidze,"Sheshelidze str, 6",Tbilisi,Tbilisi,41.785789,44.79248,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
105,Bodbe,"Sighnagi region, Village Bodbe",Bodbe,GE,41.551121,45.880444,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
13,GPI,Saakadze Square,Tbilisi,Tbilisi,41.725269,44.777092,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine",Sunday - Monday - 24 Hours,0322 24 04 44
14,Lanchkhuti,"Jordania street #24,Lanchkhuti",Lanchkhuti,Lanchkhuti,42.082115,42.048553,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
15,Khelvachauri,Village Khelvachauri,Adjara,Adjara,41.579777,41.660809,"Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons, Quick Top-up Machine, ATM",Sunday - Monday - 24 Hours,0322 24 04 44
16,Akhalkalaki,"Akhalkalaki, Agmashenebli .St #2",Samtskhe Javakheti,Samtskhe Javakheti,41.402157,43.48888,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
17,Gelovani 2,Marshal Gelovani Avenue,Tbilisi,Tbilisi,41.743309,44.769421,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
106,Tskhaltubo,"Village Gumbra, Tskaltubo region",Tskhaltubo,GE,42.282372,42.617504,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
19,Chiatura,"Sachkhere Hwy., Chiatura",Chiatura,Imereti,42.294281,43.296803,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
20,Zestaphoni,"Zestafoni, King Tamar Street number 48",Zestaphoni,Imereti,42.114094,43.02953,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
21,Didube 2,141A Tornike Eristavi Street,Tbilisi,Tbilisi,41.747471,44.77951,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
22,Batumi 2,"Batumi, Village Angisa",Batumi,Batumi,41.629257,41.6059,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
23,Bolnisi,"Bolnisi, David Agmashenebeli Street 35a",Kvemo Kartli,Kvemo Kartli,41.452137,44.56525,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
24,Bagebi,"K. Cholokashvili Ave, Tbilisi",Tbilisi,Tbilisi,41.709908,44.741493,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
25,Chakvi,"9A Queen Tamar St., Chakvi",Chakvi,Adjara,41.735264,41.733959,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
90,Isani 3,"Tbilisi, Ketevan Tsamebuli Ave 75.",Tbilisi,Tbilisi,41.685673,44.852016,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
97,Kobuleti 2,Meskhidze ts. #15,Kobuleti,Kobuleti,41.796673,41.784275,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
29,Telavi,"Telavi, Tbilisi Highway 4th Kilometer",Telavi,Telavi,41.920338,45.504246,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
30,Gelovani 1,"Vake-Saburtalo, Marshal Gelovani Ave. 36",Tbilisi,Tbilisi,41.757618,44.768494,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
32,Akhaltsikhe,"Akhaltsikhe, Tamarashvili .St",Samtskhe Javakheti,Samtskhe Javakheti,41.643127,42.981815,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
33,HESI,"Dimitry Gulia St, Tbilisi, Georgia",Tbilisi,Tbilisi,41.682587,44.825413,"Euro Regular 92, Efix Euro Premium 95, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
107,Terjola 2,"68 Rustaveli St., Terjola",Terjola,GE,42.173927,42.977936,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
108,Zugdidi 3,"ზუგდიდი, თამარ მეფის ქუჩა #7",Zugdidi,GE,42.509075,41.849937,,,Sunday - Monday - 24 Hours,(+995 32) 2 24 04 44
91,Eliava,Cosmonaut Ave. # 39,Tbilisi,Tbilisi,41.732796,44.77523,"Efix Super 98, Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
38,Ambrolauri,"1 Bratislava-Racha St., Ambrolauri ",Ambrolauri,Ambrolauri,42.522648,43.148232,"Euro Regular 92, Efix Euro Premium 95, Efix Euro Diesel, Euro Diesel","Fill&Go, POS Terminal, Rompetrol Card, Coupons",Sunday - Monday - 24 Hours,0322 24 04 44
